"ee.Taxon","Definition.x","Definition.y","N"
"rat","brain disease","basolateral amygdaloid nuclear complex",1
"rat","sensory system disease","CNS neuron (sensu Vertebrata)",1
"rat","sensory system disease","neuron",1
"rat","sensory system disease","retinal ganglion cell",1
"rat","sensory system disease","neural cell",1
"rat","sensory system disease","retinal cell",1
"rat","sensory system disease","central nervous system neuron",1
"rat","eye and adnexa disease","CNS neuron (sensu Vertebrata)",1
"rat","eye and adnexa disease","neuron",1
"rat","eye and adnexa disease","retinal ganglion cell",1
"rat","eye and adnexa disease","neural cell",1
"rat","eye and adnexa disease","retinal cell",1
"rat","eye and adnexa disease","central nervous system neuron",1
"rat","eye disease","CNS neuron (sensu Vertebrata)",1
"rat","eye disease","neuron",1
"rat","eye disease","retinal ganglion cell",1
"rat","eye disease","neural cell",1
"rat","eye disease","retinal cell",1
"rat","eye disease","central nervous system neuron",1
"rat","nervous system disease","retinal ganglion cell",1
"rat","nervous system disease","retinal cell",1
"rat","ocular hypertension","CNS neuron (sensu Vertebrata)",1
"rat","ocular hypertension","neuron",1
"rat","ocular hypertension","retinal ganglion cell",1
"rat","ocular hypertension","neural cell",1
"rat","ocular hypertension","retinal cell",1
"rat","ocular hypertension","central nervous system neuron",1
"mouse","multiple sclerosis","choroid plexus",1
"mouse","multiple sclerosis","brain ventricle/choroid plexus",1
"mouse","multiple sclerosis","brain ventricle",1
"mouse","multiple sclerosis","ventricular system of brain",1
"mouse","demyelinating disease","choroid plexus",1
"mouse","demyelinating disease","brain ventricle/choroid plexus",1
"mouse","demyelinating disease","brain ventricle",1
"mouse","demyelinating disease","ventricular system of brain",1
"mouse","neurodegenerative disease","neuron of cerebral cortex",1
"mouse","neurodegenerative disease","cerebral cortex neuron",1
"mouse","motor neuron disease","CNS neuron (sensu Vertebrata)",1
"mouse","motor neuron disease","neuron of cerebral cortex",1
"mouse","motor neuron disease","cerebral cortex neuron",1
"mouse","motor neuron disease","neuron of the forebrain",1
"mouse","central nervous system disease","neuron of cerebral cortex",1
"mouse","central nervous system disease","cerebral cortex neuron",1
"mouse","amyotrophic lateral sclerosis","CNS neuron (sensu Vertebrata)",1
"mouse","amyotrophic lateral sclerosis","neuron of cerebral cortex",1
"mouse","amyotrophic lateral sclerosis","cerebral cortex neuron",1
"mouse","amyotrophic lateral sclerosis","neuron of the forebrain",1
"mouse","nervous system disease","neuron of cerebral cortex",1
"mouse","nervous system disease","cerebral cortex neuron",1
"human","fatal familial insomnia","brain",1
"human","fatal familial insomnia","cerebral hemisphere",1
"human","fatal familial insomnia","parietal lobe",1
"human","fatal familial insomnia","forebrain",1
"human","fatal familial insomnia","telencephalon",1
"human","fatal familial insomnia","diencephalon",1
"human","fatal familial insomnia","dorsal plus ventral thalamus",1
"human","fatal familial insomnia","regional part of brain",1
"human","fatal familial insomnia","brain gray matter",1
"human","fatal familial insomnia","thalamic complex",1
"human","fatal familial insomnia","lobe of cerebral hemisphere",1
"human","fatal familial insomnia","gray matter of forebrain",1
"human","fatal familial insomnia","gray matter of diencephalon",1
"human","prion disease","parietal lobe",1
"human","prion disease","diencephalon",1
"human","prion disease","dorsal plus ventral thalamus",1
"human","prion disease","thalamic complex",1
"human","prion disease","gray matter of diencephalon",1
"human","generalized epilepsy with febrile seizures plus","pallium",1
"human","generalized epilepsy with febrile seizures plus","brain",1
"human","generalized epilepsy with febrile seizures plus","cerebral cortex",1
"human","generalized epilepsy with febrile seizures plus","cerebral hemisphere",1
"human","generalized epilepsy with febrile seizures plus","forebrain",1
"human","generalized epilepsy with febrile seizures plus","telencephalon",1
"human","generalized epilepsy with febrile seizures plus","hippocampal formation",1
"human","generalized epilepsy with febrile seizures plus","regional part of brain",1
"human","generalized epilepsy with febrile seizures plus","brain gray matter",1
"human","generalized epilepsy with febrile seizures plus","hippocampal field",1
"human","generalized epilepsy with febrile seizures plus","CA3 field of hippocampus",1
"human","generalized epilepsy with febrile seizures plus","cerebral hemisphere gray matter",1
"human","generalized epilepsy with febrile seizures plus","gray matter of telencephalon",1
"human","generalized epilepsy with febrile seizures plus","gray matter of forebrain",1
"human","idiopathic generalized epilepsy","pallium",1
"human","idiopathic generalized epilepsy","brain",1
"human","idiopathic generalized epilepsy","cerebral cortex",1
"human","idiopathic generalized epilepsy","cerebral hemisphere",1
"human","idiopathic generalized epilepsy","forebrain",1
"human","idiopathic generalized epilepsy","telencephalon",1
"human","idiopathic generalized epilepsy","hippocampal formation",1
"human","idiopathic generalized epilepsy","regional part of brain",1
"human","idiopathic generalized epilepsy","brain gray matter",1
"human","idiopathic generalized epilepsy","hippocampal field",1
"human","idiopathic generalized epilepsy","CA3 field of hippocampus",1
"human","idiopathic generalized epilepsy","cerebral hemisphere gray matter",1
"human","idiopathic generalized epilepsy","gray matter of telencephalon",1
"human","idiopathic generalized epilepsy","gray matter of forebrain",1
"human","retinitis pigmentosa","neural cell",1
"human","retinitis pigmentosa","retinal pigment epithelial cell",1
"human","retinitis pigmentosa","retinal cell",1
"human","retinal degeneration","neural cell",1
"human","retinal degeneration","retinal pigment epithelial cell",1
"human","retinal degeneration","retinal cell",1
"human","eye degenerative disease","neural cell",1
"human","eye degenerative disease","retinal pigment epithelial cell",1
"human","eye degenerative disease","retinal cell",1
"rat","brain infarction","brain",1
"rat","middle cerebral artery infarction","brain",1
"rat","cerebral infarction","brain",1
"human","hepatic encephalopathy","gyrus",1
"human","hepatic encephalopathy","temporal lobe",1
"human","hepatic encephalopathy","fusiform gyrus",1
"human","brain disease","fusiform gyrus",1
"mouse","synucleinopathy","dentate gyrus of hippocampal formation",1
"mouse","synucleinopathy","hippocampal formation",1
"mouse","synucleinopathy","hippocampal field",1
"mouse","synucleinopathy","CA1 field of hippocampus",1
"mouse","synucleinopathy","CA3 field of hippocampus",1
"mouse","Parkinson's disease","dentate gyrus of hippocampal formation",1
"mouse","Parkinson's disease","hippocampal formation",1
"mouse","Parkinson's disease","hippocampal field",1
"mouse","Parkinson's disease","CA1 field of hippocampus",1
"mouse","Parkinson's disease","CA3 field of hippocampus",1
"rat","primary progressive multiple sclerosis","neuron associated cell",1
"rat","primary progressive multiple sclerosis","neuron associated cell (sensu Vertebrata)",1
"rat","primary progressive multiple sclerosis","neural cell",1
"rat","primary progressive multiple sclerosis","oligodendrocyte precursor cell",1
"rat","neurodegenerative disease","neuron associated cell (sensu Vertebrata)",1
"rat","neurodegenerative disease","oligodendrocyte precursor cell",1
"rat","multiple sclerosis","neuron associated cell (sensu Vertebrata)",1
"rat","multiple sclerosis","oligodendrocyte precursor cell",1
"rat","relapsing-remitting multiple sclerosis","neuron associated cell",1
"rat","relapsing-remitting multiple sclerosis","neuron associated cell (sensu Vertebrata)",1
"rat","relapsing-remitting multiple sclerosis","neural cell",1
"rat","relapsing-remitting multiple sclerosis","oligodendrocyte precursor cell",1
"rat","demyelinating disease","neuron associated cell (sensu Vertebrata)",1
"rat","demyelinating disease","oligodendrocyte precursor cell",1
"rat","central nervous system disease","neuron associated cell (sensu Vertebrata)",1
"rat","central nervous system disease","oligodendrocyte precursor cell",1
"rat","nervous system disease","neuron associated cell (sensu Vertebrata)",1
"rat","nervous system disease","oligodendrocyte precursor cell",1
"human","central nervous system disease","neuron of cerebral cortex",1
"human","central nervous system disease","cerebral cortex neuron",1
"human","central nervous system disease","neuron of the forebrain",1
"human","nervous system disease","neuron of cerebral cortex",1
"human","nervous system disease","cerebral cortex neuron",1
"human","nervous system disease","neuron of the forebrain",1
"human","frontotemporal dementia","CNS neuron (sensu Vertebrata)",1
"human","frontotemporal dementia","neuron of cerebral cortex",1
"human","frontotemporal dementia","cerebral cortex neuron",1
"human","frontotemporal dementia","neuron of the forebrain",1
"human","frontotemporal dementia","central nervous system neuron",1
"human","brain disease","CNS neuron (sensu Vertebrata)",1
"human","brain disease","neuron of cerebral cortex",1
"human","brain disease","cerebral cortex neuron",1
"human","brain disease","neuron of the forebrain",1
"human","brain disease","central nervous system neuron",1
"human","Alzheimer's disease","choroid plexus",1
"human","Alzheimer's disease","choroid plexus epithelium",1
"human","Alzheimer's disease","brain ventricle/choroid plexus",1
"human","Alzheimer's disease","brain ventricle",1
"human","Alzheimer's disease","ventricular system of brain",1
"human","neurodegenerative disease","choroid plexus",1
"human","neurodegenerative disease","choroid plexus epithelium",1
"human","neurodegenerative disease","brain ventricle/choroid plexus",1
"human","neurodegenerative disease","brain ventricle",1
"human","neurodegenerative disease","ventricular system of brain",1
"human","central nervous system disease","choroid plexus",1
"human","central nervous system disease","choroid plexus epithelium",1
"human","central nervous system disease","brain ventricle/choroid plexus",1
"human","central nervous system disease","brain ventricle",1
"human","central nervous system disease","ventricular system of brain",1
"human","tauopathy","choroid plexus",1
"human","tauopathy","choroid plexus epithelium",1
"human","tauopathy","brain ventricle/choroid plexus",1
"human","tauopathy","brain ventricle",1
"human","tauopathy","ventricular system of brain",1
"human","nervous system disease","choroid plexus",1
"human","nervous system disease","choroid plexus epithelium",1
"human","nervous system disease","brain ventricle/choroid plexus",1
"human","nervous system disease","brain ventricle",1
"human","nervous system disease","ventricular system of brain",1
"mouse","spinocerebellar ataxia type 6","brain",1
"mouse","spinocerebellar ataxia type 6","metencephalon",1
"mouse","spinocerebellar ataxia type 6","hindbrain",1
"mouse","spinocerebellar ataxia type 6","cerebellum",1
"mouse","spinocerebellar ataxia type 6","regional part of brain",1
"mouse","spinocerebellar ataxia type 6","segmental subdivision of hindbrain",1
"mouse","electroclinical syndrome","neuron associated cell",1
"mouse","electroclinical syndrome","glial cell",1
"mouse","electroclinical syndrome","microglial cell",1
"mouse","electroclinical syndrome","glial cell (sensu Vertebrata)",1
"mouse","electroclinical syndrome","central nervous system macrophage",1
"mouse","electroclinical syndrome","neural cell",1
"mouse","variable age at onset electroclinical syndrome","neuron associated cell",1
"mouse","variable age at onset electroclinical syndrome","glial cell",1
"mouse","variable age at onset electroclinical syndrome","microglial cell",1
"mouse","variable age at onset electroclinical syndrome","glial cell (sensu Vertebrata)",1
"mouse","variable age at onset electroclinical syndrome","central nervous system macrophage",1
"mouse","variable age at onset electroclinical syndrome","neural cell",1
"mouse","epilepsy","neuron associated cell",1
"mouse","epilepsy","glial cell",1
"mouse","epilepsy","microglial cell",1
"mouse","epilepsy","glial cell (sensu Vertebrata)",1
"mouse","epilepsy","central nervous system macrophage",1
"mouse","epilepsy","neural cell",1
"mouse","progressive myoclonus epilepsy","neuron associated cell",1
"mouse","progressive myoclonus epilepsy","glial cell",1
"mouse","progressive myoclonus epilepsy","microglial cell",1
"mouse","progressive myoclonus epilepsy","glial cell (sensu Vertebrata)",1
"mouse","progressive myoclonus epilepsy","central nervous system macrophage",1
"mouse","progressive myoclonus epilepsy","neural cell",1
"rat","Alzheimer's disease","CNS neuron (sensu Vertebrata)",1
"rat","Alzheimer's disease","granule cell",1
"rat","Alzheimer's disease","neuron",1
"rat","Alzheimer's disease","cerebellar granule cell",1
"rat","Alzheimer's disease","neural cell",1
"rat","Alzheimer's disease","cerebellar neuron",1
"rat","Alzheimer's disease","central nervous system neuron",1
"rat","Alzheimer's disease","metencephalon",1
"rat","Alzheimer's disease","hindbrain",1
"rat","Alzheimer's disease","cerebellum",1
"rat","Alzheimer's disease","segmental subdivision of hindbrain",1
"rat","neurodegenerative disease","CNS neuron (sensu Vertebrata)",1
"rat","neurodegenerative disease","granule cell",1
"rat","neurodegenerative disease","cerebellar granule cell",1
"rat","neurodegenerative disease","cerebellar neuron",1
"rat","neurodegenerative disease","metencephalon",1
"rat","neurodegenerative disease","hindbrain",1
"rat","neurodegenerative disease","cerebellum",1
"rat","neurodegenerative disease","segmental subdivision of hindbrain",1
"rat","central nervous system disease","cerebellar granule cell",1
"rat","central nervous system disease","cerebellar neuron",1
"rat","tauopathy","CNS neuron (sensu Vertebrata)",1
"rat","tauopathy","granule cell",1
"rat","tauopathy","neuron",1
"rat","tauopathy","cerebellar granule cell",1
"rat","tauopathy","neural cell",1
"rat","tauopathy","cerebellar neuron",1
"rat","tauopathy","central nervous system neuron",1
"rat","tauopathy","metencephalon",1
"rat","tauopathy","hindbrain",1
"rat","tauopathy","cerebellum",1
"rat","tauopathy","segmental subdivision of hindbrain",1
"rat","nervous system disease","cerebellar granule cell",1
"rat","nervous system disease","cerebellar neuron",1
"human","motor neuron disease","metencephalon",1
"human","motor neuron disease","hindbrain",1
"human","motor neuron disease","cerebellum",1
"human","motor neuron disease","segmental subdivision of hindbrain",1
"human","amyotrophic lateral sclerosis","metencephalon",1
"human","amyotrophic lateral sclerosis","hindbrain",1
"human","amyotrophic lateral sclerosis","cerebellum",1
"human","amyotrophic lateral sclerosis","segmental subdivision of hindbrain",1
"mouse","prion disease","neuron associated cell",1
"mouse","prion disease","glial cell",1
"mouse","prion disease","microglial cell",1
"mouse","prion disease","glial cell (sensu Vertebrata)",1
"mouse","prion disease","central nervous system macrophage",1
"mouse","prion disease","neural cell",1
"human","Leber congenital amaurosis 1","neural cell",1
"human","Leber congenital amaurosis 1","retinal pigment epithelial cell",1
"human","Leber congenital amaurosis 1","retinal cell",1
"human","Leber congenital amaurosis","neural cell",1
"human","Leber congenital amaurosis","retinal pigment epithelial cell",1
"human","Leber congenital amaurosis","retinal cell",1
"human","Parkinson's disease 8","neuron",1
"human","Parkinson's disease 8","dopaminergic neuron",1
"human","Parkinson's disease 8","neural cell",1
"human","late onset Parkinson's disease","neuron",1
"human","late onset Parkinson's disease","dopaminergic neuron",1
"human","late onset Parkinson's disease","neural cell",1
"human","Alzheimer's disease","dorsolateral prefrontal cortex",1
"human","tauopathy","dorsolateral prefrontal cortex",1
"human","autosomal recessive cerebellar ataxia","brain",1
"human","autosomal recessive cerebellar ataxia","metencephalon",1
"human","autosomal recessive cerebellar ataxia","hindbrain",1
"human","autosomal recessive cerebellar ataxia","cerebellum",1
"human","autosomal recessive cerebellar ataxia","cerebellar cortex",1
"human","autosomal recessive cerebellar ataxia","regional part of brain",1
"human","autosomal recessive cerebellar ataxia","brain gray matter",1
"human","autosomal recessive cerebellar ataxia","segmental subdivision of hindbrain",1
"human","autosomal recessive cerebellar ataxia","gray matter of hindbrain",1
"human","hereditary ataxia","brain",1
"human","hereditary ataxia","metencephalon",1
"human","hereditary ataxia","hindbrain",1
"human","hereditary ataxia","cerebellum",1
"human","hereditary ataxia","cerebellar cortex",1
"human","hereditary ataxia","regional part of brain",1
"human","hereditary ataxia","brain gray matter",1
"human","hereditary ataxia","segmental subdivision of hindbrain",1
"human","hereditary ataxia","gray matter of hindbrain",1
"human","ataxia telangiectasia","brain",1
"human","ataxia telangiectasia","metencephalon",1
"human","ataxia telangiectasia","hindbrain",1
"human","ataxia telangiectasia","cerebellum",1
"human","ataxia telangiectasia","cerebellar cortex",1
"human","ataxia telangiectasia","regional part of brain",1
"human","ataxia telangiectasia","brain gray matter",1
"human","ataxia telangiectasia","segmental subdivision of hindbrain",1
"human","ataxia telangiectasia","gray matter of hindbrain",1
"mouse","ataxia with oculomotor apraxia type 2","brain",1
"mouse","ataxia with oculomotor apraxia type 2","metencephalon",1
"mouse","ataxia with oculomotor apraxia type 2","hindbrain",1
"mouse","ataxia with oculomotor apraxia type 2","cerebellum",1
"mouse","ataxia with oculomotor apraxia type 2","regional part of brain",1
"mouse","ataxia with oculomotor apraxia type 2","segmental subdivision of hindbrain",1
"mouse","autosomal recessive cerebellar ataxia","brain",1
"mouse","autosomal recessive cerebellar ataxia","metencephalon",1
"mouse","autosomal recessive cerebellar ataxia","hindbrain",1
"mouse","autosomal recessive cerebellar ataxia","cerebellum",1
"mouse","autosomal recessive cerebellar ataxia","regional part of brain",1
"mouse","autosomal recessive cerebellar ataxia","segmental subdivision of hindbrain",1
"human","neurodegeneration with brain iron accumulation","cerebral subcortex",1
"human","neurodegeneration with brain iron accumulation","brain",1
"human","neurodegeneration with brain iron accumulation","midbrain",1
"human","neurodegeneration with brain iron accumulation","substantia nigra",1
"human","neurodegeneration with brain iron accumulation","nucleus of brain",1
"human","neurodegeneration with brain iron accumulation","basal ganglion",1
"human","neurodegeneration with brain iron accumulation","regional part of brain",1
"human","neurodegeneration with brain iron accumulation","brain gray matter",1
"human","neurodegeneration with brain iron accumulation","midbrain nucleus",1
"human","neurodegeneration with brain iron accumulation","aggregate regional part of brain",1
"human","neurodegeneration with brain iron accumulation","collection of basal ganglia",1
"mouse","neurodegenerative disease","spinal cord oligodendrocyte",1
"mouse","motor neuron disease","oligodendrocyte",1
"mouse","motor neuron disease","spinal cord oligodendrocyte",1
"mouse","central nervous system disease","spinal cord oligodendrocyte",1
"mouse","amyotrophic lateral sclerosis","oligodendrocyte",1
"mouse","amyotrophic lateral sclerosis","spinal cord oligodendrocyte",1
"mouse","nervous system disease","spinal cord oligodendrocyte",1
"human","Huntington's disease","neuron",1
"human","Huntington's disease","medium spiny neuron",1
"human","Huntington's disease","central nervous system neuron",1
"human","neurodegenerative disease","medium spiny neuron",1
"human","central nervous system disease","medium spiny neuron",1
"human","nervous system disease","medium spiny neuron",1
"mouse","West Nile encephalitis","brain",1
"mouse","brain ischemia","hippocampal formation",1
"mouse","brain ischemia","hippocampal field",1
"mouse","brain ischemia","CA1 field of hippocampus",1
"mouse","cerebrovascular disease","hippocampal formation",1
"mouse","cerebrovascular disease","hippocampal field",1
"mouse","cerebrovascular disease","CA1 field of hippocampus",1
"human","multiple sclerosis","neuron associated cell",1
"human","multiple sclerosis","glial cell",1
"human","multiple sclerosis","macroglial cell",1
"human","multiple sclerosis","astrocyte",1
"human","multiple sclerosis","glial cell (sensu Vertebrata)",1
"human","multiple sclerosis","neural cell",1
"human","demyelinating disease","neuron associated cell",1
"human","demyelinating disease","glial cell",1
"human","demyelinating disease","macroglial cell",1
"human","demyelinating disease","astrocyte",1
"human","demyelinating disease","glial cell (sensu Vertebrata)",1
"human","demyelinating disease","neural cell",1
"human","neurodegenerative disease","oligodendrocyte",1
"human","motor neuron disease","neuron associated cell",1
"human","motor neuron disease","glial cell",1
"human","motor neuron disease","macroglial cell",1
"human","motor neuron disease","astrocyte",1
"human","motor neuron disease","oligodendrocyte",1
"human","motor neuron disease","glial cell (sensu Vertebrata)",1
"human","central nervous system disease","oligodendrocyte",1
"human","amyotrophic lateral sclerosis","neuron associated cell",1
"human","amyotrophic lateral sclerosis","glial cell",1
"human","amyotrophic lateral sclerosis","macroglial cell",1
"human","amyotrophic lateral sclerosis","astrocyte",1
"human","amyotrophic lateral sclerosis","oligodendrocyte",1
"human","amyotrophic lateral sclerosis","glial cell (sensu Vertebrata)",1
"human","nervous system disease","oligodendrocyte",1
"mouse","brain glioma","brain",1
"mouse","brain glioma","brain endothelium",1
"mouse","brain cancer","brain endothelium",1
"mouse","brain glioblastoma multiforme","brain",1
"mouse","brain glioblastoma multiforme","brain endothelium",1
"mouse","central nervous system cancer","brain endothelium",1
"mouse","sensory system disease","CNS neuron (sensu Vertebrata)",1
"mouse","sensory system disease","retinal ganglion cell",1
"mouse","sensory system disease","central nervous system neuron",1
"mouse","eye and adnexa disease","CNS neuron (sensu Vertebrata)",1
"mouse","eye and adnexa disease","retinal ganglion cell",1
"mouse","eye and adnexa disease","central nervous system neuron",1
"mouse","glaucoma","CNS neuron (sensu Vertebrata)",1
"mouse","glaucoma","neuron",1
"mouse","glaucoma","retinal ganglion cell",1
"mouse","glaucoma","neural cell",1
"mouse","glaucoma","retinal cell",1
"mouse","glaucoma","central nervous system neuron",1
"mouse","eye disease","CNS neuron (sensu Vertebrata)",1
"mouse","eye disease","retinal ganglion cell",1
"mouse","eye disease","central nervous system neuron",1
"mouse","nervous system disease","retinal ganglion cell",1
"mouse","multiple sclerosis","hindbrain",1
"mouse","demyelinating disease","hindbrain",1
"mouse","brain infarction","postnatal subventricular zone",1
"mouse","middle cerebral artery infarction","postnatal subventricular zone",1
"mouse","cerebral infarction","postnatal subventricular zone",1
"mouse","cerebrovascular disease","postnatal subventricular zone",1
"mouse","epilepsy","brain endothelium",1
"mouse","brain ischemia","brain endothelium",1
"mouse","cerebrovascular disease","brain endothelium",1
"human","Huntington's disease","brain microvascular endothelial cell",1
"human","neurodegenerative disease","brain microvascular endothelial cell",1
"human","cortical dysplasia-focal epilepsy syndrome","brain",1
"human","hepatic encephalopathy","primary motor cortex",1
"human","hepatic encephalopathy","frontal cortex",1
"human","hepatic encephalopathy","neocortex",1
"human","hepatic encephalopathy","frontal lobe",1
"human","hepatic encephalopathy","cortex of cerebral lobe",1
"human","brain disease","primary motor cortex",1
"human","central nervous system tuberculosis","frontal cortex",1
"human","central nervous system tuberculosis","neocortex",1
"human","central nervous system tuberculosis","frontal lobe",1
"human","central nervous system tuberculosis","lobe of cerebral hemisphere",1
"human","central nervous system tuberculosis","cortex of cerebral lobe",1
"mouse","hypomyelinating leukodystrophy","brain",1
"mouse","Pelizaeus-Merzbacher disease","brain",1
"mouse","epilepsy","dentate gyrus of hippocampal formation",1
"mouse","focal epilepsy","pallium",1
"mouse","focal epilepsy","brain",1
"mouse","focal epilepsy","cerebral cortex",1
"mouse","focal epilepsy","cerebral hemisphere",1
"mouse","focal epilepsy","dentate gyrus of hippocampal formation",1
"mouse","focal epilepsy","forebrain",1
"mouse","focal epilepsy","telencephalon",1
"mouse","focal epilepsy","hippocampal formation",1
"mouse","focal epilepsy","regional part of brain",1
"mouse","focal epilepsy","brain gray matter",1
"mouse","focal epilepsy","cerebral hemisphere gray matter",1
"mouse","focal epilepsy","gray matter of telencephalon",1
"mouse","focal epilepsy","gray matter of forebrain",1
"mouse","temporal lobe epilepsy","pallium",1
"mouse","temporal lobe epilepsy","brain",1
"mouse","temporal lobe epilepsy","cerebral cortex",1
"mouse","temporal lobe epilepsy","cerebral hemisphere",1
"mouse","temporal lobe epilepsy","dentate gyrus of hippocampal formation",1
"mouse","temporal lobe epilepsy","forebrain",1
"mouse","temporal lobe epilepsy","telencephalon",1
"mouse","temporal lobe epilepsy","hippocampal formation",1
"mouse","temporal lobe epilepsy","regional part of brain",1
"mouse","temporal lobe epilepsy","brain gray matter",1
"mouse","temporal lobe epilepsy","cerebral hemisphere gray matter",1
"mouse","temporal lobe epilepsy","gray matter of telencephalon",1
"mouse","temporal lobe epilepsy","gray matter of forebrain",1
"mouse","brain disease","dentate gyrus of hippocampal formation",1
"mouse","Huntington's disease","CNS neuron (sensu Vertebrata)",1
"mouse","Huntington's disease","striatum neuron",1
"mouse","Huntington's disease","neuron of the forebrain",1
"mouse","Huntington's disease","central nervous system neuron",1
"mouse","neurodegenerative disease","striatum neuron",1
"mouse","central nervous system disease","striatum neuron",1
"mouse","nervous system disease","striatum neuron",1
"mouse","neurodegenerative disease","perivascular macrophage",1
"mouse","motor neuron disease","perivascular macrophage",1
"mouse","central nervous system disease","perivascular macrophage",1
"mouse","amyotrophic lateral sclerosis","perivascular macrophage",1
"mouse","nervous system disease","perivascular macrophage",1
"human","neurodegenerative disease","optic chiasma",1
"human","neurodegenerative disease","decussation of diencephalon",1
"human","multiple sclerosis","optic chiasma",1
"human","multiple sclerosis","diencephalon",1
"human","multiple sclerosis","decussation of diencephalon",1
"human","demyelinating disease","optic chiasma",1
"human","demyelinating disease","diencephalon",1
"human","demyelinating disease","decussation of diencephalon",1
"human","central nervous system disease","optic chiasma",1
"human","central nervous system disease","decussation of diencephalon",1
"human","nervous system disease","optic chiasma",1
"human","nervous system disease","decussation of diencephalon",1
"human","amyotrophic lateral sclerosis type 6","motor neuron",1
"human","amyotrophic lateral sclerosis type 6","efferent neuron",1
"human","amyotrophic lateral sclerosis type 6","neuron",1
"human","amyotrophic lateral sclerosis type 6","neural cell",1
"mouse","Alzheimer's disease","ventral part of telencephalon",1
"mouse","Alzheimer's disease","corpus striatum",1
"mouse","Alzheimer's disease","cerebral subcortex",1
"mouse","Alzheimer's disease","basal ganglion",1
"mouse","Alzheimer's disease","striatum",1
"mouse","Alzheimer's disease","basal nuclear complex",1
"mouse","Alzheimer's disease","aggregate regional part of brain",1
"mouse","Alzheimer's disease","collection of basal ganglia",1
"mouse","tauopathy","ventral part of telencephalon",1
"mouse","tauopathy","corpus striatum",1
"mouse","tauopathy","cerebral subcortex",1
"mouse","tauopathy","basal ganglion",1
"mouse","tauopathy","striatum",1
"mouse","tauopathy","basal nuclear complex",1
"mouse","tauopathy","aggregate regional part of brain",1
"mouse","tauopathy","collection of basal ganglia",1
"human","leukodystrophy","neuron associated cell",1
"human","leukodystrophy","glial cell",1
"human","leukodystrophy","macroglial cell",1
"human","leukodystrophy","astrocyte",1
"human","leukodystrophy","glial cell (sensu Vertebrata)",1
"human","cerebral degeneration","neuron associated cell",1
"human","cerebral degeneration","glial cell",1
"human","cerebral degeneration","macroglial cell",1
"human","cerebral degeneration","astrocyte",1
"human","cerebral degeneration","glial cell (sensu Vertebrata)",1
"human","Alexander disease","neuron associated cell",1
"human","Alexander disease","glial cell",1
"human","Alexander disease","macroglial cell",1
"human","Alexander disease","astrocyte",1
"human","Alexander disease","glial cell (sensu Vertebrata)",1
"human","Alexander disease","neural cell",1
"human","Alexander disease","brain",1
"human","synucleinopathy","neuron associated cell",1
"human","synucleinopathy","glial cell",1
"human","synucleinopathy","macroglial cell",1
"human","synucleinopathy","astrocyte",1
"human","synucleinopathy","glial cell (sensu Vertebrata)",1
"human","Parkinson's disease","neuron associated cell",1
"human","Parkinson's disease","glial cell",1
"human","Parkinson's disease","macroglial cell",1
"human","Parkinson's disease","astrocyte",1
"human","Parkinson's disease","glial cell (sensu Vertebrata)",1
"rat","brain ischemia","central nervous system macrophage",1
"rat","brain ischemia","meningeal macrophage",1
"rat","brain ischemia","perivascular macrophage",1
"rat","brain ischemia","neural cell",1
"rat","central nervous system disease","central nervous system macrophage",1
"rat","central nervous system disease","meningeal macrophage",1
"rat","central nervous system disease","perivascular macrophage",1
"rat","cerebrovascular disease","central nervous system macrophage",1
"rat","cerebrovascular disease","meningeal macrophage",1
"rat","cerebrovascular disease","perivascular macrophage",1
"rat","cerebrovascular disease","neural cell",1
"rat","nervous system disease","central nervous system macrophage",1
"rat","nervous system disease","meningeal macrophage",1
"rat","nervous system disease","perivascular macrophage",1
"rat","brain disease","central nervous system macrophage",1
"rat","brain disease","meningeal macrophage",1
"rat","brain disease","perivascular macrophage",1
"mouse","synucleinopathy","central nervous system neuron",1
"mouse","synucleinopathy","midbrain dopaminergic neuron",1
"mouse","neurodegenerative disease","midbrain dopaminergic neuron",1
"mouse","Parkinson's disease","central nervous system neuron",1
"mouse","Parkinson's disease","midbrain dopaminergic neuron",1
"mouse","central nervous system disease","midbrain dopaminergic neuron",1
"mouse","nervous system disease","midbrain dopaminergic neuron",1
"mouse","neurodegenerative disease","primary motor cortex",1
"mouse","motor neuron disease","primary motor cortex",1
"mouse","motor neuron disease","frontal cortex",1
"mouse","motor neuron disease","neocortex",1
"mouse","motor neuron disease","frontal lobe",1
"mouse","motor neuron disease","lobe of cerebral hemisphere",1
"mouse","motor neuron disease","cortex of cerebral lobe",1
"mouse","amyotrophic lateral sclerosis","primary motor cortex",1
"mouse","amyotrophic lateral sclerosis","frontal cortex",1
"mouse","amyotrophic lateral sclerosis","neocortex",1
"mouse","amyotrophic lateral sclerosis","frontal lobe",1
"mouse","amyotrophic lateral sclerosis","lobe of cerebral hemisphere",1
"mouse","amyotrophic lateral sclerosis","cortex of cerebral lobe",1
"human","Alzheimer's disease","middle temporal gyrus",1
"human","neurodegenerative disease","middle temporal gyrus",1
"human","central nervous system disease","middle temporal gyrus",1
"human","tauopathy","middle temporal gyrus",1
"human","nervous system disease","middle temporal gyrus",1
"human","epilepsy","Ammon's horn",1
"human","focal epilepsy","limbic system",1
"human","focal epilepsy","neocortex",1
"human","focal epilepsy","Ammon's horn",1
"human","focal epilepsy","limbic lobe",1
"human","focal epilepsy","lobe of cerebral hemisphere",1
